nuts,SD,EPP,EAF,G,ALDE,NI,GUE,ECR,UEN
AT111,6573,6002,1537,603,0,2587,0,0,0
AT112,20628,17270,7440,3061,0,10336,0,0,0
AT113,12942,13130,4774,1521,0,6121,0,0,0
AT121,22063,41849,12836,5674,0,16525,0,0,0
AT122,27711,28013,14830,5250,0,19947,0,0,0
AT123,15031,18340,7833,4058,0,10590,0,0,0
AT124,19100,45935,9982,4785,0,15373,0,0,0
AT125,11496,24271,6350,2391,0,9488,0,0,0
AT126,26201,38243,15576,10716,0,23805,0,0,0
AT127,30142,30148,15921,11156,0,24086,0,0,0
AT130,140317,89500,75271,83525,0,77858,0,0,0
AT211,18101,12399,5015,6616,0,13861,0,0,0
AT212,8261,8306,2272,1545,0,6095,0,0,0
AT213,10700,8974,2702,2111,0,6383,0,0,0
AT221,22318,28209,14254,16863,0,17161,0,0,0
AT222,6724,7293,2882,1244,0,4083,0,0,0
AT223,20261,10098,7376,2565,0,12330,0,0,0
AT224,14533,37258,10403,4806,0,12134,0,0,0
AT225,13517,17727,6939,2877,0,9614,0,0,0
AT226,9489,10136,3786,1411,0,6830,0,0,0
AT311,17811,36894,16536,6046,0,14314,0,0,0
AT312,52891,47585,26881,18484,0,35678,0,0,0
AT313,18459,34766,9228,5718,0,12297,0,0,0
AT314,14814,16765,7745,4397,0,10539,0,0,0
AT315,20234,24068,12455,6968,0,15190,0,0,0
AT321,942,2316,861,292,0,1254,0,0,0
AT322,9791,15587,5653,2519,0,10670,0,0,0
AT323,17390,29342,11283,12093,0,19132,0,0,0
AT331,740,3153,552,539,0,1432,0,0,0
AT332,10921,22308,9338,12470,0,15634,0,0,0
AT333,1258,6348,1110,944,0,2199,0,0,0
AT334,2532,10855,2217,1763,0,4888,0,0,0
AT335,7965,21111,7670,4709,0,13266,0,0,0
AT341,2868,10076,2658,2222,0,4238,0,0,0
AT342,10134,25295,9119,9660,0,15002,0,0,0
ATZZZ,50144,74545,18566,33507,0,33998,0,0,0
BE10,130340,111836,0,149122,210104,40860,0,0,0
BE21,151858,243531,0,119555,194297,220230,0,0,0
BE22,91610,138861,0,58536,97879,84540,0,0,0
BE23,116724,204094,0,84913,239831,147950,0,0,0
BE24,61617,91297,0,50945,102744,56498,0,0,0
BE25,99965,221348,0,67160,143854,97092,0,0,0
BE31,36675,26679,0,60642,87143,0,0,0,0
BE32,263423,91200,0,135879,153217,0,0,0,0
BE33,199527,68818,0,133721,130724,0,0,0,0
BE34,36085,34420,0,36173,42381,0,0,0,0
BE35,72174,43863,0,67980,75802,0,0,0,0
BG311,11007,10432,0,0,4868,4831,0,0,0
BG312,11147,14894,0,0,5451,9546,0,0,0
BG313,16245,17406,0,0,9171,12678,0,0,0
BG314,20506,30417,0,0,12617,24346,0,0,0
BG315,10713,16256,0,0,7806,8293,0,0,0
BG321,16800,29086,0,0,16008,16146,0,0,0
BG322,7781,16032,0,0,7209,8027,0,0,0
BG323,13353,26877,0,0,20730,16238,0,0,0
BG324,4928,9181,0,0,36029,5951,0,0,0
BG325,8577,12274,0,0,30229,7653,0,0,0
BG331,26164,57759,0,0,35417,39254,0,0,0
BG332,14522,18818,0,0,15853,16409,0,0,0
BG333,12195,17252,0,0,29430,12224,0,0,0
BG334,8337,9050,0,0,28329,6465,0,0,0
BG341,24671,43673,0,0,40896,46049,0,0,0
BG342,11801,20178,0,0,9590,12294,0,0,0
BG343,12780,13915,0,0,5938,10084,0,0,0
BG344,25035,36640,0,0,14232,26205,0,0,0
BG411,69869,179915,0,0,44043,37068,0,0,0
BG412,20113,24648,0,0,6618,16517,0,0,0
BG413,13850,35762,0,0,28652,16834,0,0,0
BG414,9098,13313,0,0,4448,9908,0,0,0
BG415,12029,13541,0,0,4676,10465,0,0,0
BG421,45218,85770,0,0,40530,35588,0,0,0
BG422,17017,26474,0,0,22253,20578,0,0,0
BG423,16552,26673,0,0,23183,15214,0,0,0
BG424,10027,13146,0,0,13486,4871,0,0,0
BG425,5031,8500,0,0,48100,3529,0,0,0
BGZZZ,1252,4628,0,0,3551,1771,0,0,0
CZ010,50432,15312,0,0,0,0,31070,136915,0
CZ020,58492,11313,0,0,0,0,39766,102403,0
CZ031,30271,10014,0,0,0,0,21537,47029,0
CZ032,30519,7009,0,0,0,0,20993,38821,0
CZ041,13294,1676,0,0,0,0,8771,14539,0
CZ042,36226,3347,0,0,0,0,28432,41530,0
CZ051,19159,3586,0,0,0,0,12018,29586,0
CZ052,27115,8422,0,0,0,0,17211,42360,0
CZ053,27286,11440,0,0,0,0,16471,34601,0
CZ063,28798,15464,0,0,0,0,19349,29924,0
CZ064,63571,35729,0,0,0,0,39681,73538,0
CZ071,36722,16959,0,0,0,0,21878,35088,0
CZ072,30970,21052,0,0,0,0,16991,36778,0
CZ080,75277,19128,0,0,0,0,40409,78834,0
CY000,67794,109209,0,0,0,0,106922,0,0
DE111,34148,55220,0,45406,27500,0,8560,0,0
DE112,22655,49779,0,20795,21797,0,3494,0,0
DE113,35804,70412,0,31520,27026,0,5059,0,0
DE114,17279,34059,0,11666,11926,0,2717,0,0
DE115,36798,69215,0,29474,26986,0,5789,0,0
DE116,27702,56285,0,21391,22576,0,4002,0,0
DE117,8188,12533,0,3687,4924,0,1125,0,0
DE118,25103,48057,0,12265,17152,0,3216,0,0
DE119,9279,16256,0,3755,6530,0,908,0,0
DE11A,15306,23233,0,8070,8736,0,1897,0,0
DE11B,9464,26972,0,5453,6539,0,1564,0,0
DE11C,9327,19160,0,5208,4471,0,1654,0,0
DE11D,21292,53109,0,12938,13056,0,3282,0,0
DE121,2971,7688,0,2901,2954,0,445,0,0
DE122,17633,26755,0,19468,13097,0,3526,0,0
DE123,31533,69187,0,19130,22023,0,3698,0,0
DE124,14997,34983,0,9190,10266,0,1875,0,0
DE125,9299,13199,0,13799,6631,0,2172,0,0
DE126,22178,25011,0,12953,8978,0,4095,0,0
DE127,9997,31171,0,4712,5751,0,1325,0,0
DE128,44624,78732,0,29035,28643,0,6640,0,0
DE129,6329,11613,0,3859,4942,0,1225,0,0
DE12A,8713,23455,0,6361,8811,0,1482,0,0
DE12B,13940,26747,0,9745,10844,0,1991,0,0
DE12C,6086,15987,0,4118,11697,0,961,0,0
DE131,13927,17751,0,23846,7024,0,4203,0,0
DE132,17118,38798,0,19018,13324,0,2481,0,0
DE133,12353,22204,0,10544,7620,0,1668,0,0
DE134,26156,63414,0,19737,20355,0,4210,0,0
DE135,7123,21932,0,4830,8196,0,976,0,0
DE136,11124,30458,0,8197,10246,0,1615,0,0
DE137,6551,21289,0,4622,8778,0,1030,0,0
DE138,15203,34187,0,16034,14781,0,2666,0,0
DE139,14982,24745,0,12381,9880,0,2092,0,0
DE13A,9082,24286,0,7368,7779,0,1156,0,0
DE141,16335,37502,0,14747,15813,0,3097,0,0
DE142,13780,26001,0,20245,11280,0,4034,0,0
DE143,10126,28460,0,6335,10562,0,1812,0,0
DE144,7562,12208,0,7598,5524,0,1365,0,0
DE145,11118,36001,0,9541,9868,0,1700,0,0
DE146,8152,38299,0,7838,10214,0,1698,0,0
DE147,10922,31603,0,12311,11473,0,1995,0,0
DE148,11887,44818,0,15371,13928,0,2553,0,0
DE149,5666,25361,0,4805,6599,0,1052,0,0
DE211,3638,16124,0,3230,2467,0,908,0,0
DE212,65266,127500,0,82663,52506,0,12034,0,0
DE213,1786,7562,0,2061,1390,0,398,0,0
DE214,3600,18914,0,2481,2686,0,578,0,0
DE215,2567,16735,0,3169,2237,0,539,0,0
DE216,3470,21279,0,4886,4176,0,610,0,0
DE217,4943,21965,0,5093,3914,0,762,0,0
DE218,5277,22104,0,6812,4548,0,749,0,0
DE219,4463,25251,0,3153,2608,0,672,0,0
DE21A,3467,20291,0,4892,3262,0,647,0,0
DE21B,4527,23251,0,8298,4426,0,971,0,0
DE21C,9039,32527,0,11064,7078,0,1359,0,0
DE21D,1789,15742,0,2487,2739,0,358,0,0
DE21E,3528,19184,0,5807,3746,0,749,0,0
DE21F,2892,17962,0,3591,3461,0,467,0,0
DE21G,2614,20470,0,2803,2339,0,511,0,0
DE21H,15663,50278,0,17751,15381,0,1956,0,0
DE21I,2483,17664,0,1888,1955,0,470,0,0
DE21J,3678,20668,0,3345,3189,0,720,0,0
DE21K,6706,44939,0,9644,7163,0,1169,0,0
DE21L,5057,21625,0,8361,7443,0,757,0,0
DE21M,5277,30304,0,7033,3978,0,938,0,0
DE21N,4798,22143,0,4987,3685,0,874,0,0
DE221,1942,9344,0,2471,1564,0,430,0,0
DE222,2146,6692,0,1617,1510,0,461,0,0
DE223,1262,6950,0,610,770,0,274,0,0
DE224,2884,17281,0,1905,2381,0,728,0,0
DE225,1700,10542,0,966,1264,0,484,0,0
DE226,3584,20028,0,2257,2364,0,597,0,0
DE227,3807,28730,0,3807,3443,0,752,0,0
DE228,5234,27876,0,3031,4032,0,1149,0,0
DE229,2004,11163,0,852,1293,0,415,0,0
DE22A,2570,18389,0,1946,2458,0,537,0,0
DE22B,2036,20187,0,1043,1831,0,397,0,0
DE22C,2513,16261,0,1173,1665,0,432,0,0
DE231,1981,5671,0,1047,966,0,293,0,0
DE232,5183,17098,0,6477,3320,0,1318,0,0
DE233,2234,5674,0,929,956,0,321,0,0
DE234,5225,17384,0,2116,2302,0,738,0,0
DE235,2489,21288,0,1747,2051,0,683,0,0
DE236,3437,27012,0,3076,2542,0,716,0,0
DE237,5226,17619,0,1597,2026,0,569,0,0
DE238,6920,32576,0,4954,4293,0,1233,0,0
DE239,6694,23298,0,2222,2405,0,1032,0,0
DE23A,3728,15689,0,1255,1744,0,516,0,0
DE241,3040,8933,0,3863,2466,0,757,0,0
DE242,3748,8108,0,3078,2984,0,533,0,0
DE243,2855,4864,0,1576,1523,0,410,0,0
DE244,2207,5447,0,1010,1216,0,415,0,0
DE245,5547,26625,0,3652,4585,0,1156,0,0
DE246,5741,16405,0,2720,3238,0,606,0,0
DE247,6395,13068,0,2137,2367,0,796,0,0
DE248,4817,18193,0,4390,3969,0,799,0,0
DE249,6488,15343,0,2016,2497,0,823,0,0
DE24A,5196,12254,0,1120,2003,0,541,0,0
DE24B,4916,11992,0,1916,2034,0,532,0,0
DE24C,3247,12862,0,1270,1749,0,354,0,0
DE24D,5787,11055,0,1537,1780,0,765,0,0
DE251,1937,4122,0,1420,935,0,447,0,0
DE252,6293,11457,0,6818,3761,0,1222,0,0
DE253,6523,9586,0,4522,2641,0,1555,0,0
DE254,28682,47394,0,21241,13068,0,6179,0,0
DE255,2172,4724,0,1544,1089,0,391,0,0
DE256,7168,24989,0,5736,4822,0,1463,0,0
DE257,7815,18822,0,6329,5049,0,1096,0,0
DE258,6994,13977,0,4421,3320,0,1099,0,0
DE259,10788,21864,0,7876,5376,0,1374,0,0
DE25A,4179,13806,0,3079,2768,0,726,0,0
DE25B,6230,18313,0,4162,3531,0,923,0,0
DE25C,4647,13714,0,2735,2576,0,718,0,0
DE261,2419,7462,0,2525,1879,0,564,0,0
DE262,2981,6489,0,1285,1039,0,852,0,0
DE263,6539,16561,0,8542,4103,0,1336,0,0
DE264,7532,27162,0,5661,5395,0,1025,0,0
DE265,3820,21950,0,2951,3024,0,1088,0,0
DE266,2802,17377,0,2129,2151,0,770,0,0
DE267,4019,16372,0,1914,2259,0,875,0,0
DE268,3405,14722,0,2468,2278,0,659,0,0
DE269,5013,20110,0,3349,3430,0,657,0,0
DE26A,5468,22693,0,4199,3224,0,976,0,0
DE26B,5063,23616,0,3324,2637,0,1258,0,0
DE26C,9066,29300,0,7281,4756,0,1455,0,0
DE271,10402,31896,0,10333,5388,0,2387,0,0
DE272,1113,6345,0,1416,1017,0,343,0,0
DE273,1955,8316,0,2387,1792,0,496,0,0
DE274,1407,5541,0,1168,1142,0,253,0,0
DE275,3872,23958,0,3977,3356,0,646,0,0
DE276,7744,43959,0,7580,6006,0,1455,0,0
DE277,2607,16977,0,1978,2283,0,479,0,0
DE278,3163,19668,0,2286,2674,0,621,0,0
DE279,5758,21937,0,4822,4763,0,1040,0,0
DE27A,2367,11740,0,3130,2307,0,560,0,0
DE27B,3231,24760,0,5025,3370,0,693,0,0
DE27C,3202,25184,0,3364,3971,0,662,0,0
DE27D,4223,26350,0,3065,2717,0,885,0,0
DE27E,3617,27166,0,6108,4641,0,747,0,0
DE300,161635,208395,0,202437,74522,0,126442,0,0
DE411,2825,3146,0,1063,776,0,4795,0,0
DE412,8342,8390,0,3786,2833,0,13281,0,0
DE413,9415,9049,0,3379,3381,0,15400,0,0
DE414,11649,11868,0,5315,4428,0,11715,0,0
DE415,10679,9775,0,3209,3219,0,13787,0,0
DE416,5544,5169,0,1693,1539,0,5734,0,0
DE417,4903,5242,0,911,1490,0,4845,0,0
DE418,7044,6916,0,1585,1835,0,8072,0,0
DE421,4051,3411,0,1068,929,0,3883,0,0
DE422,5160,4563,0,1934,1306,0,6213,0,0
DE423,10605,6722,0,7143,3182,0,12901,0,0
DE424,9933,10196,0,3584,3414,0,11502,0,0
DE425,6036,8425,0,1239,2084,0,6369,0,0
DE426,9001,9365,0,4012,3293,0,7426,0,0
DE427,6545,7707,0,1300,1866,0,7315,0,0
DE428,13718,13320,0,6637,5134,0,11762,0,0
DE429,6890,8064,0,1783,2237,0,8158,0,0
DE42A,10275,9288,0,3248,3421,0,9529,0,0
DE501,45704,38172,0,37680,14177,0,11553,0,0
DE502,9360,7714,0,3796,2544,0,1915,0,0
DE600,109766,128443,0,88823,48225,0,29181,0,0
DE711,10232,12946,0,13086,5107,0,2479,0,0
DE712,28989,47813,0,35707,21614,0,9416,0,0
DE713,4526,7692,0,3862,2564,0,1243,0,0
DE714,14243,24650,0,12055,8825,0,2689,0,0
DE715,20712,34399,0,10395,10377,0,2392,0,0
DE716,20312,26124,0,12455,8679,0,2458,0,0
DE717,17089,21034,0,9414,6605,0,2516,0,0
DE718,12971,30949,0,11665,13537,0,2152,0,0
DE719,23716,38092,0,12691,12721,0,3848,0,0
DE71A,12167,31202,0,11026,11745,0,2030,0,0
DE71B,6654,7949,0,2962,2673,0,930,0,0
DE71C,17253,36564,0,13332,13504,0,3000,0,0
DE71D,11539,22051,0,8283,7462,0,1513,0,0
DE71E,18858,28857,0,10744,10969,0,2567,0,0
DE721,23980,25867,0,11432,9882,0,3100,0,0
DE722,16630,24002,0,6590,7157,0,2074,0,0
