FR711	Ain	1999	5855	6331	26899	12810	1959	46	9996	980	0	486	2254	0	26	1283	0	15435	12383	19642	7581	5349	323135	137438	129315	8123	185697
FR221	Aisne	1999	11397	13264	36395	11103	2659	30	15118	1937	0	953	3250	17	3	1139	0	19262	11187	19713	14184	5393	367488	178713	167004	11709	188775
FR721	Allier	1999	5372	17325	25085	8198	1433	24	4192	1125	0	601	2232	0	6	124	0	14202	10505	14635	4920	2519	258481	122608	112498	10110	135873
FR821	Alpes-de Haute-Provence	1999	2605	4266	10190	4965	857	0	5427	448	0	211	858	0	8	403	0	5268	3295	7453	2531	1959	104846	54348	50744	3604	50498
FR822	Haute Alpes	1999	1885	2897	8624	4922	742	0	3437	305	0	126	751	0	21	278	0	5141	4485	5816	1720	1244	90287	45501	42394	3107	44786
FR823	Alpes-Maritimes	1999	9594	16728	46202	25020	4075	36	7427	1548	9	648	4256	33	54	2045	1	38817	21353	56117	25416	16040	668046	286865	275419	11446	381181
FR712	Ardèche	1999	4661	8294	21284	8965	1412	14	10342	894	0	360	1347	0	41	999	0	11197	9243	13693	4637	3081	213756	106773	100464	6309	106983
FR211	Ardennes	1999	4492	5347	17786	6156	1190	60	4566	800	0	340	1405	0	7	447	0	10384	6306	9310	5811	3516	192007	82906	77923	4983	109101
FR621	Ariège	1999	3036	4726	17134	4892	652	0	5635	537	0	0	701	0	7	341	0	4299	3004	5668	2002	1079	108003	57483	53713	3770	50520
FR212	Aube	1999	3871	4971	15567	6332	1251	0	7031	680	1	416	2135	11	14	502	0	11942	7336	12020	6943	2962	191862	89960	83985	5975	101902
FR811	Aude	1999	5115	9582	34949	8091	1288	26	11346	1008	0	169	1297	11	14	898	0	9952	5741	13733	5635	3511	230504	120112	112366	7746	110392
FR622	Aveyron	1999	4606	5334	24371	8393	1398	0	9875	1006	0	1	1788	0	37	716	0	14763	12407	15531	2946	1928	213165	115075	105100	9975	98090
FR824	Bouches-du-Rôhne	1999	22736	46970	90599	43046	7074	59	34482	3420	0	1220	6337	101	38	2837	0	48128	31572	62925	33889	41510	1098362	498254	476943	21311	600108
FR251	Calvados	1999	11514	10350	44113	20178	3308	39	27665	2512	408	667	4105	14	12	1548	0	25402	19079	25482	10261	3882	445788	222343	210539	11804	223445
FR722	Cantal	1999	2121	2627	12572	3178	479	12	5425	489	3	194	704	0	14	401	0	10649	5288	7734	1445	707	123118	58255	54042	4213	64863
FR531	Charente	1999	5683	8522	28329	9052	1367	52	10753	1172	6	535	1705	0	1	952	0	13081	9200	14779	4417	2291	254701	121286	111897	9389	133415
FR532	Charente Maritime	1999	7489	11075	39813	16055	2295	20	31781	1640	6	926	2857	1	7	1592	0	21395	14285	25696	7046	3920	404722	198392	187899	10493	206330
FR241	Cher	1999	5090	12518	20422	7225	1099	15	7983	897	2	462	1887	0	4	782	0	12680	8127	14403	5436	2498	228079	109062	101530	7532	119017
FR631	Corrèze	1999	3716	10517	27233	5276	773	1	7243	672	0	268	1221	0	11	428	0	18823	4423	10526	2603	1342	183459	103705	95076	8629	79754
FR831	Corse-du-Sud	1999	770	2480	4338	1608	490	1	1859	80	0	0	252	0	2	170	0	5824	1234	3769	960	619	81625	25200	24456	744	56425
FR832	Haute-Corse	1999	947	3133	6891	1742	345	0	3644	86	0	0	277	0	0	128	0	8336	1145	3539	820	626	100666	32567	31659	908	68099
FR261	Côte-d'Or	1999	6840	6594	30991	14185	2343	0	9193	1084	0	478	2449	0	0	1329	0	19292	13688	20409	7456	5129	324541	150316	141460	8856	174225
FR521	Côtes-d'Armor	1999	11141	17792	51666	22648	2898	15	11421	2248	4	944	3554	1	15	1725	0	27743	21919	19050	7192	2795	422850	217792	204771	13021	205058
FR632	Creuse	1999	2174	4250	12258	3067	405	2	4007	391	0	210	576	0	0	293	0	6393	2468	6922	1425	604	104481	49735	45445	4290	54746
